team,distance_km,distance_mi,team_abbr,team_nick,division,conference,team_logo_espn,team_color1,team_color2,team_logo_alternate,team_color_alt1,team_color_alt2,europe
San Jose Sharks,99636.1,61911,SJS,sharks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/SJ.png,#006D75,#000000,https://i.imgur.com/tmLYTC4.png,#006D75,#000000,63411
Nashville Predators,84421.1,52456.8,NSH,predators,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/NSH.png,#FFB81C,#041E42,https://i.imgur.com/P4lMu0a.png,#041E42,#FFB81C,53956.8
Colorado Avalanche,84222.2,52333.8,COL,avalanche,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/COL.png,#6F263D,#236192,https://sportslogohistory.com/wp-content/uploads/2017/12/colorado_avalanche_2016-pres_a.png,#041E42,#6F263D,53833.8
Edmonton Oilers,83751,52040.8,EDM,oilers,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/EDM.png,#FF4C00,#041E42,https://i.imgur.com/TWFUJbi.png,#041E42,#97999B,NA
Vegas Golden Knights,81902.5,50891.9,VGK,goldenknights,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/vgs.png,#B4975A,#333F42,https://i.imgur.com/sCtaquO.png,#C8102E,#B4975A,NA
Florida Panthers,78350,48685,FLA,panthers,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/FLA.png,#041E42,#C8102E,https://i.imgur.com/MxrGLhp.png,#B9975B,#041E42,NA
Vancouver Canucks,76461.7,47510.9,VAN,canucks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/VAN.png,#00205B,#00843D,https://i.imgur.com/8zctEWi.png,#FFD100,#EF3340,NA
Anaheim Ducks,73909.3,45925.2,ANA,ducks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/ANA.png,#F47A38,#B9975B,https://content.sportslogos.net/logos/1/1/full/anaheim_mighty_ducks-primary_19944561.png,#00685E,##532A44,NA
Seattle Kraken,72308.8,44930.6,SEA,kraken,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/SEA.png,#99D9D9,#001628,https://content.sportslogos.net/logos/1/6740/full/5282_seattle_kraken-alternate-2022.png,#001628,#99D9D9,NA
Calgary Flames,71920.6,44689.5,CGY,flames,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/CGY.png,#C8102E,#F1BE48,https://content.sportslogos.net/logos/1/5/full/kohc3s8yz5fi74z6ojk1od6ah.png,#F1BE48,#C8102E,NA
Dallas Stars,71749.8,44583.6,DAL,stars,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/DAL.png,#006847,#8F8F8C,https://i.imgur.com/rAvM2f0.png,#154734,#C69214,NA
Columbus Blue Jackets,70762.6,43969.9,CBJ,bluejackets,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/CBJ.png,#002654,#CE1126,https://i.imgur.com/wfny12f.png,#002654,#DDCBA4,45469.9
Minnesota Wild,70156.4,43594,MIN,wild,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/MIN.png,#154734,#A6192E,https://i.imgur.com/oNh0yHG.png,#009639,#FFD100,NA
Arizona Coyotes,69506,43189.1,ARI,coyotes,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/ARI.png,#8C2633,#DDCBA4,https://content.sportslogos.net/logos/1/23/full/phoenix_coyotes-primary_20008238.png,#154734,#5F259F,NA
Carolina Hurricanes,68161.7,42353.8,CAR,hurricanes,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/CAR.png,#CC0000,#000000,https://i.imgur.com/oJ8IIRI.png,#000000,#CC0000,NA
Winnipeg Jets,67705.6,42070.8,WPG,jets,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/WPG.png,#041E42,#AC162C,https://i.imgur.com/IUMW64y.png,#041E42,#AC162C,NA
Chicago Blackhawks,66378.6,41246.2,CHI,blackhawks,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/CHI.png,#CF0A2C,#000000,https://content.sportslogos.net/logos/1/7/full/57.png,#CF0A2C,#D18A00,NA
Tampa Bay Lightning,66156.4,41108.3,TBL,lightning,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/TB.png,#002868,#FFFFFF,https://content.sportslogos.net/logos/1/27/full/tampa_bay_lightning_logo_primary_19939887.png,#002868,#A2AAAD,NA
Los Angeles Kings,65880.4,40936.9,LAK,kings,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/LA.png,#111111,#A2AAAD,https://i.pinimg.com/originals/e1/b4/cb/e1b4cb36a5f699416d31c67e5210077d.png,#572A84,#FFC80C,NA
St. Louis Blues,63724.8,39597.2,STL,blues,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/STL.png,#002F87,#FCB514,https://i.imgur.com/NswESIs.png,#00205B,#C8102E,NA
