team,distance_km,distance_mi,team_abbr,team_nick,division,conference,team_logo_espn,team_color1,team_color2,team_logo_alternate,team_color_alt1,team_color_alt2,status
Edmonton Oilers,83587.5,51939.6,EDM,oilers,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/EDM.png,#FF4C00,#041E42,https://i.imgur.com/TWFUJbi.png,#041E42,#97999B,active
Arizona Coyotes,76695.7,47656.3,ARI,coyotes,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/ARI.png,#8C2633,#DDCBA4,https://content.sportslogos.net/logos/1/23/full/phoenix_coyotes-primary_20008238.png,#154734,#5F259F,active
Florida Panthers,76515.1,47544.8,FLA,panthers,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/FLA.png,#041E42,#C8102E,https://i.imgur.com/MxrGLhp.png,#B9975B,#041E42,active
Seattle Kraken,75684.5,47028.4,SEA,kraken,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/SEA.png,#99D9D9,#001628,https://content.sportslogos.net/logos/1/6740/full/5282_seattle_kraken-alternate-2022.png,#001628,#99D9D9,active
San Jose Sharks,75550,46944.6,SJS,sharks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/SJ.png,#006D75,#000000,https://i.imgur.com/tmLYTC4.png,#006D75,#000000,active
Vancouver Canucks,75002.7,46604.8,VAN,canucks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/VAN.png,#00205B,#00843D,https://i.imgur.com/8zctEWi.png,#FFD100,#EF3340,active
Anaheim Ducks,74685.3,46407.5,ANA,ducks,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/ANA.png,#F47A38,#B9975B,https://content.sportslogos.net/logos/1/1/full/anaheim_mighty_ducks-primary_19944561.png,#00685E,#532A44,active
Colorado Avalanche,74645.4,46382.8,COL,avalanche,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/COL.png,#6F263D,#236192,https://sportslogohistory.com/wp-content/uploads/2017/12/colorado_avalanche_2016-pres_a.png,#041E42,#6F263D,active
Dallas Stars,74320.9,46181.3,DAL,stars,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/DAL.png,#006847,#8F8F8C,https://i.imgur.com/rAvM2f0.png,#154734,#C69214,active
Calgary Flames,74070.1,46025.4,CGY,flames,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/CGY.png,#C8102E,#F1BE48,https://content.sportslogos.net/logos/1/5/full/kohc3s8yz5fi74z6ojk1od6ah.png,#F1BE48,#C8102E,active
Los Angeles Kings,73620.2,45746.2,LAK,kings,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/LA.png,#111111,#A2AAAD,https://i.pinimg.com/originals/e1/b4/cb/e1b4cb36a5f699416d31c67e5210077d.png,#572A84,#FFC80C,active
Vegas Golden Knights,73356.9,45582,VGK,goldenknights,Pacific,Western,https://a.espncdn.com/i/teamlogos/nhl/500/VGK.png,#B4975A,#333F42,https://i.imgur.com/sCtaquO.png,#C8102E,#B4975A,active
Nashville Predators,70949.4,44086.1,NSH,predators,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/NSH.png,#FFB81C,#041E42,https://i.imgur.com/P4lMu0a.png,#041E42,#FFB81C,active
Winnipeg Jets,70511.3,43813.9,WPG,jets,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/WPG.png,#041E42,#AC162C,https://i.imgur.com/IUMW64y.png,#041E42,#AC162C,active
Tampa Bay Lightning,70132.3,43578.6,TBL,lightning,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/TB.png,#002868,#FFFFFF,https://content.sportslogos.net/logos/1/27/full/tampa_bay_lightning_logo_primary_19939887.png,#002868,#A2AAAD,active
Minnesota Wild,67426.6,41897.5,MIN,wild,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/MIN.png,#154734,#A6192E,https://i.imgur.com/oNh0yHG.png,#009639,#FFD100,active
Chicago Blackhawks,66218.3,41146.2,CHI,blackhawks,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/CHI.png,#CF0A2C,#000000,https://content.sportslogos.net/logos/1/7/full/57.png,#CF0A2C,#D18A00,active
St. Louis Blues,64142.9,39857.2,STL,blues,Central,Western,https://a.espncdn.com/i/teamlogos/nhl/500/STL.png,#002F87,#FCB514,https://i.imgur.com/NswESIs.png,#00205B,#C8102E,active
New York Rangers,59681,37084.6,NYR,rangers,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/NYR.png,#0038A8,#CE1126,https://i.imgur.com/RHNdeaj.png,#0038A8,#CE1126,active
Philadelphia Flyers,59350.3,36879.3,PHI,flyers,Metropolitan,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/PHI.png,#F74902,#000000,https://i.imgur.com/QVg1nts.png,#000000,#F74902,active
Boston Bruins,59350.4,36879,BOS,bruins,Atlantic,Eastern,https://a.espncdn.com/i/teamlogos/nhl/500/BOS.png,#FFB81C,#000000,https://i.imgur.com/YakPDQm.png,#FFB81C,#000000,active
