full_team_name,team_abbr,team_nick,division,conference,team_color,team_color2,team_color3,team_color4,team_logo_espn,team_logo_alternate
Anaheim Ducks,ANA,ducks,Pacific,Western,#F47A38,#B9975B,#00685E,##532A44,https://a.espncdn.com/i/teamlogos/nhl/500/ANA.png,https://content.sportslogos.net/logos/1/1/full/anaheim_mighty_ducks-primary_19944561.png
Arizona Coyotes,ARI,coyotes,Central,Western,#8C2633,#154734,#DDCBA4,#5F259F,https://a.espncdn.com/i/teamlogos/nhl/500/ARI.png,https://content.sportslogos.net/logos/1/23/full/phoenix_coyotes-primary_20008238.png
Boston Bruins,BOS,bruins,Atlantic,Eastern,#FFB81C,#000000,#FFB81C,#000000,https://a.espncdn.com/i/teamlogos/nhl/500/BOS.png,https://i.imgur.com/YakPDQm.png
Buffalo Sabres,BUF,sabres,Atlantic,Eastern,#002654,#FCB514,#ADAFAA,#C8102E,https://a.espncdn.com/i/teamlogos/nhl/500/BUF.png,https://i.imgur.com/QGPPTyP.png
Calgary Flames,CGY,flames,Pacific,Western,#C8102E,#F1BE48,#111111,#FFFFFF,https://a.espncdn.com/i/teamlogos/nhl/500/CGY.png,https://content.sportslogos.net/logos/1/5/full/kohc3s8yz5fi74z6ojk1od6ah.png
Carolina Hurricanes,CAR,hurricanes,Metropolitan,Eastern,#CC0000,#000000,#A2AAAD,#76232F,https://a.espncdn.com/i/teamlogos/nhl/500/CAR.png,https://i.imgur.com/oJ8IIRI.png
Chicago Blackhawks,CHI,blackhawks,Central,Western,#CF0A2C,#000000,#FFFFFF,#D18A00,https://a.espncdn.com/i/teamlogos/nhl/500/CHI.png,https://content.sportslogos.net/logos/1/7/full/57.png
Colorado Avalanche,COL,avalanche,Central,Western,#6F263D,#236192,#A2AAAD,#000000,https://a.espncdn.com/i/teamlogos/nhl/500/COL.png,https://sportslogohistory.com/wp-content/uploads/2017/12/colorado_avalanche_2016-pres_a.png
Columbus Blue Jackets,CBJ,bluejackets,Metropolitan,Eastern,#002654,#CE1126,#A4A9AD,#FFFFFF,https://a.espncdn.com/i/teamlogos/nhl/500/CBJ.png,https://i.imgur.com/wfny12f.png
Dallas Stars,DAL,stars,Central,Western,#006847,#8F8F8C,#111111,#34fc04,https://a.espncdn.com/i/teamlogos/nhl/500/DAL.png,https://i.imgur.com/rAvM2f0.png
Detroit Red Wings,DET,redwings,Atlantic,Eastern,#CE1126,#FFFFFF,#CE1126,#FFFFFF,https://a.espncdn.com/i/teamlogos/nhl/500/DET.png,https://i.imgur.com/n2W5mJD.png
Edmonton Oilers,EDM,oilers,Pacific,Western,#FF4C00,#041E42,#FFFFFF,#FF4C00,https://a.espncdn.com/i/teamlogos/nhl/500/EDM.png,https://i.imgur.com/TWFUJbi.png
Florida Panthers,FLA,panthers,Atlantic,Eastern,#041E42,#C8102E,#B9975B,#041E42,https://a.espncdn.com/i/teamlogos/nhl/500/FLA.png,https://i.imgur.com/MxrGLhp.png
Los Angeles Kings,LAK,kings,Pacific,Western,#572A84,#FFC80C,#111111,#A2AAAD,https://a.espncdn.com/i/teamlogos/nhl/500/LA.png,https://i.pinimg.com/originals/e1/b4/cb/e1b4cb36a5f699416d31c67e5210077d.png
Minnesota Wild,MIN,wild,Central,Western,#154734,#A6192E,#DDCBA4,#EAAA00,https://a.espncdn.com/i/teamlogos/nhl/500/MIN.png,https://i.imgur.com/oNh0yHG.png
Montreal Canadiens,MTL,canadiens,Atlantic,Eastern,#AF1E2D,#192168,#AF1E2D,#192168,https://a.espncdn.com/i/teamlogos/nhl/500/MTL.png,https://i.imgur.com/BXXqOJx.png
Nashville Predators,NSH,predators,Central,Western,#FFB81C,#041E42,#FFB81C,#041E42,https://a.espncdn.com/i/teamlogos/nhl/500/NSH.png,https://i.imgur.com/P4lMu0a.png
New Jersey Devils,NJD,devils,Metropolitan,Eastern,#CE1126,#046A38,#000000,#FFFFFF,https://a.espncdn.com/i/teamlogos/nhl/500/NJD.png,https://i.imgur.com/6QiQnF3.png
New York Islanders,NYI,islanders,Metropolitan,Eastern,#00539B,#F47D30,#FFFFFF,#041E42,https://a.espncdn.com/i/teamlogos/nhl/500/NYI.png,https://i.imgur.com/RUsdv0X.png
New York Rangers,NYR,rangers,Metropolitan,Eastern,#0038A8,#CE1126,#FFFFFF,#0038A8,https://a.espncdn.com/i/teamlogos/nhl/500/NYR.png,https://i.imgur.com/RHNdeaj.png
Ottawa Senators,OTT,senators,Atlantic,Eastern,#C52032,#C2912C,#000000,#FFFFFF,https://a.espncdn.com/i/teamlogos/nhl/500/OTT.png,https://i.imgur.com/3L9puXJ.png
Philadelphia Flyers,PHI,flyers,Metropolitan,Eastern,#F74902,#000000,#F74902,#000000,https://a.espncdn.com/i/teamlogos/nhl/500/PHI.png,https://i.imgur.com/QVg1nts.png
Pittsburgh Penguins,PIT,penguins,Metropolitan,Eastern,#FCB514,#000000,#CFC493,#418FDE,https://a.espncdn.com/i/teamlogos/nhl/500/PIT.png,https://logos-world.net/wp-content/uploads/2020/05/Pittsburgh-Penguins-Logo-1992-1999.png
San Jose Sharks,SJS,sharks,Pacific,Western,#006D75,#000000,#FFFFFF,#EA7200,https://a.espncdn.com/i/teamlogos/nhl/500/SJ.png,https://i.imgur.com/tmLYTC4.png
